ward_id,avg_risk,total_grids,high_risk_grids,readiness_score,status
1,0.8150137947094035,85,85.0,18.49862052905965,CRITICAL
10,0.5995667274508966,20,12.0,40.043327254910345,CRITICAL
100,0.6151957188198516,10,7.0,38.48042811801484,CRITICAL
101,0.6706231461766433,8,8.0,32.937685382335665,CRITICAL
102,0.7028268959485888,1,1.0,29.717310405141117,CRITICAL
103,0.6754933970202486,10,10.0,32.45066029797514,CRITICAL
104,0.6977155251037204,2,2.0,30.228447489627964,CRITICAL
105,0.6577941274136356,9,8.0,34.220587258636435,CRITICAL
106,0.6838970642974144,4,4.0,31.610293570258563,CRITICAL
107,0.6915434082704599,1,1.0,30.845659172954008,CRITICAL
108,0.6899935660200359,5,5.0,31.00064339799641,CRITICAL
109,0.6675847379036957,12,12.0,33.241526209630436,CRITICAL
11,0.6476500885974039,9,9.0,35.23499114025961,CRITICAL
110,0.6427873051340751,8,8.0,35.72126948659249,CRITICAL
111,0.6457805605641713,8,8.0,35.42194394358287,CRITICAL
112,0.6648301034238377,5,5.0,33.51698965761622,CRITICAL
113,0.6944789300201929,3,3.0,30.55210699798071,CRITICAL
114,0.6846172123169916,4,4.0,31.53827876830084,CRITICAL
115,0.6927295567816228,3,3.0,30.727044321837717,CRITICAL
116,0.7003843226151407,10,10.0,29.96156773848593,CRITICAL
117,0.6912917710722675,8,8.0,30.870822892773255,CRITICAL
118,0.6615863466071947,9,9.0,33.84136533928053,CRITICAL
119,0.7032180951086529,5,5.0,29.678190489134714,CRITICAL
12,0.606146083643313,9,6.0,39.3853916356687,CRITICAL
120,0.6944138265911954,2,2.0,30.558617340880456,CRITICAL
121,0.7460014306306257,23,23.0,25.399856936937425,CRITICAL
122,0.7689208658095447,37,37.0,23.107913419045534,CRITICAL
123,0.7118813533139806,7,7.0,28.811864668601938,CRITICAL
124,0.7054628125259327,9,9.0,29.453718747406732,CRITICAL
125,0.7445568300268892,6,6.0,25.54431699731108,CRITICAL
126,0.7349480289263859,3,3.0,26.50519710736141,CRITICAL
127,0.7314069821838162,3,3.0,26.859301781618385,CRITICAL
128,0.7000812675066602,6,6.0,29.991873249333977,CRITICAL
129,0.6777206486753503,4,4.0,32.22793513246497,CRITICAL
13,0.6608900214369123,25,25.0,33.91099785630877,CRITICAL
130,0.6797033965335202,9,9.0,32.02966034664798,CRITICAL
131,0.6484762308064711,4,4.0,35.15237691935289,CRITICAL
132,0.6496274988395239,2,2.0,35.037250116047616,CRITICAL
133,0.7953721117645042,307,307.0,20.462788823549584,CRITICAL
134,0.7688400148416316,79,79.0,23.115998515836843,CRITICAL
135,0.744887185440387,35,35.0,25.5112814559613,CRITICAL
136,0.7067098408917635,46,46.0,29.329015910823653,CRITICAL
137,0.7699362792870452,42,42.0,23.006372071295477,CRITICAL
138,0.7885006292819906,6,6.0,21.149937071800938,CRITICAL
139,0.8192615228131165,117,117.0,18.073847718688352,CRITICAL
14,0.6632627121595134,4,4.0,33.67372878404866,CRITICAL
140,0.8582723590897554,305,305.0,14.172764091024458,CRITICAL
141,0.6903886705881878,91,91.0,30.961132941181223,CRITICAL
142,0.6363716847760915,1,1.0,36.36283152239085,CRITICAL
143,0.6169141649687344,81,52.0,38.308583503126556,CRITICAL
144,0.4869501627634065,28,0.0,51.30498372365935,ATTENTION
145,0.6637029938442294,9,9.0,33.629700615577065,CRITICAL
146,0.66375706040951,4,4.0,33.624293959049,CRITICAL
147,0.6982770197795951,8,8.0,30.17229802204049,CRITICAL
148,0.714311978301623,5,5.0,28.568802169837703,CRITICAL
149,0.5194533869981602,16,0.0,48.05466130018397,CRITICAL
15,0.678561863771477,8,8.0,32.1438136228523,CRITICAL
150,0.559255305031043,36,12.0,44.074469496895695,CRITICAL
151,0.6043015541286707,5,3.0,39.56984458713293,CRITICAL
152,0.583518090681646,6,2.0,41.6481909318354,CRITICAL
153,0.6145158913771435,17,12.0,38.54841086228566,CRITICAL
154,0.6275043583252485,29,27.0,37.24956416747515,CRITICAL
155,0.6203554959123865,7,7.0,37.96445040876135,CRITICAL
156,0.6178571428571429,4,4.0,38.21428571428571,CRITICAL
157,0.6210228319357081,8,8.0,37.897716806429194,CRITICAL
158,0.6050138685009316,4,3.0,39.49861314990684,CRITICAL
159,0.6046856637509849,13,9.0,39.53143362490151,CRITICAL
16,0.6789511377530123,2,2.0,32.10488622469877,CRITICAL
160,0.6041125541125542,6,4.0,39.58874458874458,CRITICAL
161,0.5510035419126328,20,0.0,44.89964580873672,CRITICAL
162,0.5545848091302636,3,0.0,44.541519086973636,CRITICAL
163,0.5695001967729241,12,0.0,43.04998032270759,CRITICAL
164,0.5793781975600157,9,1.0,42.06218024399843,CRITICAL
165,0.49063577354937693,22,0.0,50.93642264506231,ATTENTION
166,0.5247225501770957,5,0.0,47.52774498229043,CRITICAL
167,0.5445231536140627,9,0.0,45.547684638593736,CRITICAL
168,0.5126446280991735,10,0.0,48.735537190082646,CRITICAL
169,0.4789105901892789,24,0.0,52.1089409810721,ATTENTION
17,0.6959596371454779,11,11.0,30.404036285452207,CRITICAL
170,0.47061120487469776,11,0.0,52.93887951253022,ATTENTION
171,0.45712987634095936,21,0.0,54.28701236590406,ATTENTION
172,0.46611161349432895,83,0.0,53.3888386505671,ATTENTION
173,0.4833416534374443,37,0.0,51.66583465625557,ATTENTION
174,0.4429739118272496,49,0.0,55.70260881727505,ATTENTION
175,0.41346253833726976,133,0.0,58.653746166273024,ATTENTION
176,0.41114741357723195,181,0.0,58.8852586422768,ATTENTION
177,0.40795459115481486,31,0.0,59.20454088451852,ATTENTION
178,0.43144531665216523,6,0.0,56.855468334783474,ATTENTION
179,0.5150285395709765,7,0.0,48.49714604290235,CRITICAL
18,0.7245484039755312,22,22.0,27.54515960244688,CRITICAL
180,0.5054604486422668,4,0.0,49.45395513577332,CRITICAL
181,0.5522952139247195,14,0.0,44.770478607528055,CRITICAL
182,0.5461629279811098,1,0.0,45.383707201889024,CRITICAL
183,0.549232585596222,3,0.0,45.0767414403778,CRITICAL
184,0.5676308539944903,6,0.0,43.23691460055097,CRITICAL
185,0.5306077620767691,9,0.0,46.93922379232309,CRITICAL
186,0.4887427604466165,13,0.0,51.125723955338344,ATTENTION
187,0.49650009122521593,6,0.0,50.349990877478405,ATTENTION
188,0.47792010714291167,18,0.0,52.207989285708834,ATTENTION
189,0.517556080283353,10,0.0,48.244391971664704,CRITICAL
19,0.7114714697549477,11,11.0,28.852853024505233,CRITICAL
190,0.534344746162928,10,0.0,46.5655253837072,CRITICAL
191,0.5666652399947802,15,1.0,43.333476000521976,CRITICAL
192,0.5568625147409638,15,2.0,44.31374852590362,CRITICAL
193,0.6056253906521286,17,12.0,39.43746093478714,CRITICAL
194,0.5467532467532468,7,0.0,45.324675324675326,CRITICAL
195,0.5652892561983471,2,0.0,43.471074380165284,CRITICAL
